,SPRADDR_ZIP_PR,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
15213,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15214,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
15215,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15216,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
15217,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
15218,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15219,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15220,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15221,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15222,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15223,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15224,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15225,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15226,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15227,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15228,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15229,HI,Fall 2014,University of Hawai`i at Manoa,5,2014
15230,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
15231,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
15232,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
15233,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
15234,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
15235,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15236,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
15237,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15238,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
15239,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
15240,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
15241,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15242,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
15243,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15244,MI,Fall 2014,University of Hawai`i at Manoa,1,2014
15245,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15246,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
15247,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
15248,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
15249,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15250,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15251,MT,Fall 2014,University of Hawai`i at Manoa,1,2014
15252,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15253,MI,Fall 2014,University of Hawai`i at Manoa,1,2014
15254,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15255,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15256,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15257,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15258,DE,Fall 2014,University of Hawai`i at Manoa,1,2014
15259,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15260,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
15261,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15262,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
15263,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
15264,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
15265,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
15266,ME,Fall 2014,University of Hawai`i at Manoa,1,2014
15267,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15268,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
15269,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
15270,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15271,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
15272,UT,Fall 2014,University of Hawai`i at Manoa,1,2014
15273,KS,Fall 2014,University of Hawai`i at Manoa,1,2014
15274,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
15275,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15276,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15277,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15278,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
15279,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15280,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
15281,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15282,nan,Fall 2014,University of Hawai`i at Manoa,1,2014
15283,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15284,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15285,TN,Fall 2014,University of Hawai`i at Manoa,1,2014
15286,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15287,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
15288,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15289,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
15290,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15291,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
15292,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15293,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
15294,NM,Fall 2014,University of Hawai`i at Manoa,1,2014
15295,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
15296,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15297,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15298,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15299,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
15300,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
15301,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
15302,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15304,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15305,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15306,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15307,OR,Fall 2014,University of Hawai`i at Manoa,2,2014
15308,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
15309,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
15310,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15311,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
15312,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
15313,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15314,UT,Fall 2014,University of Hawai`i at Manoa,1,2014
15315,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
15316,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15317,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
15318,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
15319,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
15320,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15321,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15322,MI,Fall 2014,University of Hawai`i at Manoa,1,2014
15323,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15324,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
15325,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15326,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15327,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15328,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15329,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15330,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15331,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15332,IN,Fall 2014,University of Hawai`i at Manoa,1,2014
15333,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15334,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
15335,UT,Fall 2014,University of Hawai`i at Manoa,1,2014
15336,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15337,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15338,ME,Fall 2014,University of Hawai`i at Manoa,1,2014
15339,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15340,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
15341,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15342,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
15343,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
15344,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15345,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15346,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15347,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15348,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
15349,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15350,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15351,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15353,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15354,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
15355,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
15356,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
15357,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15358,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
15359,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
15360,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
15361,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15362,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
15363,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
15364,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
15365,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15366,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
15367,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
15369,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15370,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
15371,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
15372,HI,Fall 2015,University of Hawai`i at Manoa,57,2015
15373,HI,Fall 2015,University of Hawai`i at Manoa,95,2015
15374,HI,Fall 2015,University of Hawai`i at Manoa,81,2015
15375,HI,Fall 2015,University of Hawai`i at Manoa,22,2015
15376,HI,Fall 2015,University of Hawai`i at Manoa,277,2015
15377,HI,Fall 2015,University of Hawai`i at Manoa,157,2015
15378,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15379,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15380,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15381,OR,Fall 2015,University of Hawai`i at Manoa,2,2015
15382,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15383,HI,Fall 2015,University of Hawai`i at Manoa,81,2015
15384,HI,Fall 2015,University of Hawai`i at Manoa,14,2015
15385,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15386,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15387,HI,Fall 2015,University of Hawai`i at Manoa,53,2015
15388,HI,Fall 2015,University of Hawai`i at Manoa,14,2015
15389,UT,Fall 2015,University of Hawai`i at Manoa,2,2015
15390,HI,Fall 2015,University of Hawai`i at Manoa,109,2015
15391,HI,Fall 2015,University of Hawai`i at Manoa,68,2015
15392,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15393,HI,Fall 2015,University of Hawai`i at Manoa,67,2015
15394,HI,Fall 2015,University of Hawai`i at Manoa,18,2015
15395,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15396,HI,Fall 2015,University of Hawai`i at Manoa,66,2015
15397,HI,Fall 2015,University of Hawai`i at Manoa,47,2015
15398,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15399,HI,Fall 2015,University of Hawai`i at Manoa,113,2015
15400,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15401,HI,Fall 2015,University of Hawai`i at Manoa,34,2015
15402,HI,Fall 2015,University of Hawai`i at Manoa,76,2015
15403,WA,Fall 2015,University of Hawai`i at Manoa,2,2015
15404,HI,Fall 2015,University of Hawai`i at Manoa,14,2015
15405,HI,Fall 2015,University of Hawai`i at Manoa,19,2015
15406,HI,Fall 2015,University of Hawai`i at Manoa,20,2015
15407,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15408,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15409,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15410,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15411,HI,Fall 2015,University of Hawai`i at Manoa,25,2015
15412,HI,Fall 2015,University of Hawai`i at Manoa,69,2015
15413,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15414,HI,Fall 2015,University of Hawai`i at Manoa,59,2015
15416,HI,Fall 2015,University of Hawai`i at Manoa,11,2015
15417,HI,Fall 2015,University of Hawai`i at Manoa,21,2015
15418,WI,Fall 2015,University of Hawai`i at Manoa,1,2015
15419,HI,Fall 2015,University of Hawai`i at Manoa,15,2015
15420,HI,Fall 2015,University of Hawai`i at Manoa,31,2015
15421,HI,Fall 2015,University of Hawai`i at Manoa,7,2015
15422,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15423,CO,Fall 2015,University of Hawai`i at Manoa,2,2015
15424,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15425,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15426,OR,Fall 2015,University of Hawai`i at Manoa,1,2015
15427,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15428,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15429,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15430,PA,Fall 2015,University of Hawai`i at Manoa,1,2015
15431,MA,Fall 2015,University of Hawai`i at Manoa,1,2015
15432,HI,Fall 2015,University of Hawai`i at Manoa,59,2015
15433,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15434,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15435,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15436,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15437,SD,Fall 2015,University of Hawai`i at Manoa,1,2015
15439,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15440,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15441,ID,Fall 2015,University of Hawai`i at Manoa,1,2015
15442,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15443,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15444,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15446,MI,Fall 2015,University of Hawai`i at Manoa,1,2015
15447,GA,Fall 2015,University of Hawai`i at Manoa,1,2015
15448,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15449,WA,Fall 2015,University of Hawai`i at Manoa,2,2015
15450,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15451,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15452,NV,Fall 2015,University of Hawai`i at Manoa,3,2015
15453,GA,Fall 2015,University of Hawai`i at Manoa,3,2015
15454,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15455,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15456,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15457,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15458,NY,Fall 2015,University of Hawai`i at Manoa,1,2015
15459,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15460,HI,Fall 2015,University of Hawai`i at Manoa,14,2015
15461,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15462,HI,Fall 2015,University of Hawai`i at Manoa,15,2015
15464,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15465,MN,Fall 2015,University of Hawai`i at Manoa,1,2015
15466,WA,Fall 2015,University of Hawai`i at Manoa,3,2015
15467,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15468,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15469,UT,Fall 2015,University of Hawai`i at Manoa,1,2015
15470,HI,Fall 2015,University of Hawai`i at Manoa,35,2015
15471,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15472,OR,Fall 2015,University of Hawai`i at Manoa,1,2015
15473,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15474,NH,Fall 2015,University of Hawai`i at Manoa,1,2015
15475,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15476,IL,Fall 2015,University of Hawai`i at Manoa,1,2015
15477,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15479,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15480,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15481,AK,Fall 2015,University of Hawai`i at Manoa,1,2015
15482,OR,Fall 2015,University of Hawai`i at Manoa,1,2015
15483,NE,Fall 2015,University of Hawai`i at Manoa,1,2015
15484,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15485,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15486,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15487,KS,Fall 2015,University of Hawai`i at Manoa,1,2015
15488,HI,Fall 2015,University of Hawai`i at Manoa,5,2015
15489,CA,Fall 2015,University of Hawai`i at Manoa,4,2015
15490,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15491,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15492,AZ,Fall 2015,University of Hawai`i at Manoa,1,2015
15493,HI,Fall 2015,University of Hawai`i at Manoa,20,2015
15494,NC,Fall 2015,University of Hawai`i at Manoa,1,2015
15496,CO,Fall 2015,University of Hawai`i at Manoa,1,2015
15497,MD,Fall 2015,University of Hawai`i at Manoa,1,2015
15498,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15499,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15500,NV,Fall 2015,University of Hawai`i at Manoa,1,2015
15502,HI,Fall 2015,University of Hawai`i at Manoa,7,2015
15503,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15504,OR,Fall 2015,University of Hawai`i at Manoa,2,2015
15505,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15506,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15507,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15508,TN,Fall 2015,University of Hawai`i at Manoa,1,2015
15509,AZ,Fall 2015,University of Hawai`i at Manoa,2,2015
15510,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15511,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15512,CT,Fall 2015,University of Hawai`i at Manoa,1,2015
15513,NY,Fall 2015,University of Hawai`i at Manoa,1,2015
15514,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15515,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15516,IA,Fall 2015,University of Hawai`i at Manoa,1,2015
15517,OR,Fall 2015,University of Hawai`i at Manoa,1,2015
15518,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15519,NJ,Fall 2015,University of Hawai`i at Manoa,1,2015
15520,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15521,MD,Fall 2015,University of Hawai`i at Manoa,2,2015
15522,MO,Fall 2015,University of Hawai`i at Manoa,1,2015
15523,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15524,MN,Fall 2015,University of Hawai`i at Manoa,1,2015
15525,AZ,Fall 2015,University of Hawai`i at Manoa,2,2015
15526,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15527,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15528,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15529,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15530,MA,Fall 2015,University of Hawai`i at Manoa,2,2015
15531,CO,Fall 2015,University of Hawai`i at Manoa,1,2015
15532,MD,Fall 2015,University of Hawai`i at Manoa,1,2015
15533,MD,Fall 2015,University of Hawai`i at Manoa,1,2015
15534,CA,Fall 2015,University of Hawai`i at Manoa,5,2015
15535,HI,Fall 2015,University of Hawai`i at Manoa,8,2015
15536,HI,Fall 2015,University of Hawai`i at Manoa,6,2015
15537,IN,Fall 2015,University of Hawai`i at Manoa,1,2015
15538,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15539,OR,Fall 2015,University of Hawai`i at Manoa,1,2015
15540,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15541,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15542,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15543,HI,Fall 2015,University of Hawai`i at Manoa,6,2015
15544,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15545,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15546,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15547,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15548,AK,Fall 2015,University of Hawai`i at Manoa,1,2015
15549,NM,Fall 2015,University of Hawai`i at Manoa,1,2015
15550,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15551,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15552,ID,Fall 2015,University of Hawai`i at Manoa,1,2015
15553,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15554,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15555,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15556,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15557,OH,Fall 2015,University of Hawai`i at Manoa,1,2015
15558,PA,Fall 2015,University of Hawai`i at Manoa,1,2015
15559,AZ,Fall 2015,University of Hawai`i at Manoa,1,2015
15560,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15561,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15562,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15563,UT,Fall 2015,University of Hawai`i at Manoa,1,2015
15564,CO,Fall 2015,University of Hawai`i at Manoa,1,2015
15565,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15566,CA,Fall 2015,University of Hawai`i at Manoa,6,2015
15567,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15568,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15569,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15570,MD,Fall 2015,University of Hawai`i at Manoa,1,2015
15571,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15572,CT,Fall 2015,University of Hawai`i at Manoa,1,2015
15573,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15574,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15575,NY,Fall 2015,University of Hawai`i at Manoa,1,2015
15576,TX,Fall 2015,University of Hawai`i at Manoa,1,2015
15577,MD,Fall 2015,University of Hawai`i at Manoa,1,2015
15578,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15579,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15580,NE,Fall 2015,University of Hawai`i at Manoa,1,2015
15581,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15582,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15583,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15584,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15585,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15586,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15587,AZ,Fall 2015,University of Hawai`i at Manoa,1,2015
15588,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15589,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15590,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15591,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15592,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15594,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15595,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15596,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15597,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15598,AZ,Fall 2015,University of Hawai`i at Manoa,1,2015
15599,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15600,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15601,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15602,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15603,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15604,CO,Fall 2015,University of Hawai`i at Manoa,1,2015
15605,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15606,HI,Fall 2015,University of Hawai`i at Manoa,7,2015
15607,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15608,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15609,OH,Fall 2015,University of Hawai`i at Manoa,1,2015
15610,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15611,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15612,NJ,Fall 2015,University of Hawai`i at Manoa,1,2015
15613,MS,Fall 2015,University of Hawai`i at Manoa,1,2015
15614,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15615,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15616,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15617,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15618,HI,Fall 2015,University of Hawai`i at Manoa,3,2015
15619,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15620,VA,Fall 2015,University of Hawai`i at Manoa,1,2015
15621,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15622,NC,Fall 2015,University of Hawai`i at Manoa,1,2015
15623,NJ,Fall 2015,University of Hawai`i at Manoa,1,2015
15624,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15625,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15626,nan,Fall 2015,University of Hawai`i at Manoa,1,2015
15627,OH,Fall 2015,University of Hawai`i at Manoa,1,2015
15628,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15629,GA,Fall 2015,University of Hawai`i at Manoa,1,2015
15630,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15631,nan,Fall 2015,University of Hawai`i at Manoa,1,2015
15632,ID,Fall 2015,University of Hawai`i at Manoa,2,2015
15633,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15634,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15635,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15636,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15637,MO,Fall 2015,University of Hawai`i at Manoa,1,2015
15638,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15639,NY,Fall 2015,University of Hawai`i at Manoa,1,2015
15640,WI,Fall 2015,University of Hawai`i at Manoa,1,2015
15641,NY,Fall 2015,University of Hawai`i at Manoa,1,2015
15642,CA,Fall 2015,University of Hawai`i at Manoa,2,2015
15643,AZ,Fall 2015,University of Hawai`i at Manoa,1,2015
15644,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
15645,CA,Fall 2015,University of Hawai`i at Manoa,3,2015
15646,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15647,HI,Fall 2015,University of Hawai`i at Manoa,5,2015
15648,WA,Fall 2015,University of Hawai`i at Manoa,1,2015
15649,FL,Fall 2015,University of Hawai`i at Manoa,1,2015
15650,MI,Fall 2015,University of Hawai`i at Manoa,1,2015
15651,NV,Fall 2015,University of Hawai`i at Manoa,1,2015
15652,KY,Fall 2015,University of Hawai`i at Manoa,1,2015
15653,OR,Fall 2015,University of Hawai`i at Manoa,1,2015
15654,HI,Fall 2015,University of Hawai`i at Manoa,4,2015
15655,IL,Fall 2015,University of Hawai`i at Manoa,1,2015
15656,CA,Fall 2015,University of Hawai`i at Manoa,1,2015
15657,HI,Fall 2015,University of Hawai`i at Manoa,1,2015
15658,HI,Fall 2015,University of Hawai`i at Manoa,2,2015
